gene_symbol,log2fc,p_value,direction
PIGR,-8.517981007,1.61E-18,down
ADIPOQ,-8.166418028,1.45E-21,down
COL11A1,7.67467335,4.99E-20,up
FABP4,-7.437139455,1.34E-12,down
COL10A1,7.336462965,4.23E-20,up
,7.090142846,1.74E-32,up
TNXA,-7.041107098,3.15E-37,down
SCARA5,-7.026594727,5.74E-55,down
RBP4,-7.010632678,3.27E-33,down
LEP,-6.940760063,1.18E-39,down
CXCL10,6.705633308,1.69E-14,up
C2orf40,-6.696852916,1.06E-19,down
ACACB,-6.687497909,3.07E-21,down
VCAN,6.671955154,8.34E-26,up
ADH1B,-6.656937524,3.22E-13,down
RRM2,6.635469713,5.63E-18,up
PLIN1,-6.415502888,2.51E-23,down
TOP2A,6.406257245,2.28E-19,up
S100P,6.402723287,6.99E-10,up
CD36,-6.398264594,1.23E-14,down
TPD52,6.395126322,3.09E-36,up
SH3GL3,-6.357342538,2.35E-94,down
CHRDL1,-6.250222056,5.30E-18,down
KIAA0101,6.212213734,3.67E-28,up
PLIN4,-6.123338643,1.15E-31,down
FRG1B,-6.101876161,1.60E-75,down
HSP90AB1,6.092364629,4.78E-31,up
COL12A1,5.978775559,2.52E-21,up
ARF1,5.978062881,6.57E-39,up
,-5.940995238,1.58E-14,down
KRT14,-5.917344448,1.01E-07,down
SCGB3A1,-5.896323636,3.01E-13,down
INHBA,5.88272479,2.66E-27,up
OXTR,-5.882431979,1.36E-21,down
ABCA8,-5.877915112,1.08E-14,down
SFRP1,-5.834160545,1.21E-08,down
DST,-5.833889888,5.29E-12,down
,-5.821781112,3.87E-67,down
MMP11,5.806957804,2.17E-19,up
CFD,-5.798358063,1.48E-23,down
SMC4,5.77169235,4.04E-31,up
GPD1,-5.752715238,2.51E-46,down
ENO1,5.728963175,1.07E-25,up
CD300LG,-5.725604406,4.56E-50,down
P4HB,5.719974587,1.02E-35,up
LPL,-5.718898601,3.57E-17,down
ANP32E,5.718563077,2.56E-14,up
FUS,5.687417657,3.71E-28,up
ESRP1,5.684962538,9.54E-32,up
EIF5A,5.680066909,6.99E-16,up
,-5.62076235,1.25E-71,down
ATAD2,5.613977329,1.30E-23,up
MALAT1,5.587178678,6.44E-22,up
,5.584607832,1.44E-16,up
CXCL9,5.566219762,1.08E-08,up
NTRK2,-5.556547601,3.24E-14,down
,-5.538534329,7.11E-21,down
EZR,5.533579741,4.84E-39,up
BTNL9,-5.510617014,8.89E-30,down
PRC1,5.503169839,8.07E-17,up
ALYREF,5.50022449,2.50E-30,up
GALNT16,-5.497328951,1.98E-16,down
CIDEC,-5.478579063,1.51E-37,down
IRX1,-5.467121804,1.46E-11,down
,5.463921762,1.04E-20,up
MYBPC1,-5.450080322,3.59E-10,down
MIR612,5.428948399,8.97E-12,up
SULF1,5.426142413,1.10E-24,up
NUSAP1,5.421818091,1.20E-21,up
ITIH5,-5.408323021,5.91E-29,down
,-5.397957608,1.03E-50,down
UBE2T,5.397548133,1.55E-19,up
TIMP4,-5.37316779,1.67E-34,down
VMP1,5.360110769,4.73E-20,up
CLEC3B,-5.346492524,4.20E-24,down
YWHAZ,5.33935672,2.25E-30,up
LOC441666,-5.331219517,1.26E-56,down
UBE2C,5.330283594,8.34E-17,up
COL6A6,-5.314630643,1.93E-26,down
WIF1,-5.305433091,8.76E-14,down
GJB2,5.286136371,3.71E-15,up
KLHL13,-5.28546458,2.62E-16,down
PTPLAD1,5.278260091,2.71E-33,up
,-5.247070685,5.26E-39,down
SAA1,-5.221310657,3.55E-16,down
CXCR4,5.216587951,1.18E-18,up
TMED2,5.192574161,7.68E-29,up
LAPTM4B,5.178946056,4.39E-19,up
HOXA5,-5.174527755,5.95E-19,down
FIGF,-5.17055042,8.88E-48,down
PNP,5.138781329,1.93E-25,up
CDC20,5.101197189,2.65E-11,up
,-5.096936203,8.94E-16,down
ZNF595,-5.096482497,1.87E-14,down
ASPM,5.091911294,4.72E-12,up
HIST1H2BG,5.09129172,7.79E-13,up
CDK1,5.071180084,5.37E-16,up
UBXN4,5.060991552,2.18E-30,up
STIP1,5.03877272,4.86E-21,up
CCNB1,5.033374273,4.01E-20,up
SRSF1,5.023689343,1.13E-31,up
CENPF,5.016913147,2.22E-16,up
ATP1A2,-5.010361406,1.37E-40,down
TPX2,4.987596832,1.76E-11,up
TMEM165,4.976506615,6.17E-29,up
ATP6V1A,4.963376517,3.91E-30,up
ANKRD20A1,-4.961052664,2.50E-65,down
GPRC5A,4.95580635,1.35E-10,up
TF,-4.942807573,2.07E-14,down
S100B,-4.931580392,1.26E-15,down
ZWINT,4.929553755,5.83E-24,up
COMP,4.908416056,2.38E-08,up
RBP7,-4.90187935,9.72E-12,down
SDPR,-4.898677483,1.08E-30,down
,-4.892450077,4.94E-27,down
PLAC9,-4.88795793,5.61E-33,down
TGFBR3,-4.885671874,4.64E-10,down
SLC52A2,4.882089028,6.06E-21,up
PLAU,4.881921622,4.64E-20,up
ADAMTS5,-4.845296028,3.05E-16,down
MUCL1,-4.829998164,0.000711221,down
TUSC5,-4.808067559,9.64E-48,down
,-4.792970266,1.77E-21,down
KRT15,-4.788260021,6.88E-09,down
SCN4B,-4.78693186,1.30E-44,down
SEC61A1,4.783343357,1.42E-25,up
G0S2,-4.775966483,5.16E-16,down
H2BFS,4.773542084,9.13E-22,up
PPP1R14A,-4.755611895,1.77E-25,down
CCL14,-4.745652406,2.33E-16,down
CD46,4.744424839,1.71E-27,up
MYH11,-4.739467923,4.35E-17,down
THRSP,-4.729472315,5.39E-09,down
BIRC5,4.720520797,1.40E-09,up
,4.719118545,3.68E-26,up
MAOA,-4.717806503,3.35E-15,down
PLEKHF2,4.717595657,3.51E-22,up
SEMA3G,-4.712947098,2.28E-26,down
CENPU,4.707056,8.26E-24,up
C1orf43,4.706399084,5.25E-30,up
PTN,-4.697114434,7.53E-11,down
POSTN,4.693661448,1.09E-17,up
CKS2,4.691675469,4.39E-23,up
CCL28,-4.685165545,1.18E-13,down
GYG2,-4.683582727,1.05E-20,down
RELN,-4.678146399,1.79E-32,down
PRPF4B,4.672429853,1.78E-26,up
SYNM,-4.671516797,7.31E-10,down
AKR1C1,-4.667193175,5.11E-13,down
CALU,4.667048678,3.33E-31,up
